scheme,k,mean,std
shuffled,1,0.9728125233682681,0.0036861375420257064
shuffled,3,0.9702948294655276,0.0022384894033036897
shuffled,5,0.9654280011014427,0.002847487451907648
shuffled,7,0.9603093188914137,0.002251550103057042
shuffled,11,0.9520020128601352,0.002648798310917489
shuffled,15,0.9478901829960826,0.002163051490316833
shuffled,21,0.9403375939459361,0.002071857432096172
shuffled,31,0.9318613765746363,0.0030122094316364567
shuffled,51,0.9123931481818717,0.0046237650929549234
shuffled,75,0.8965328308220967,0.004663017344471104
shuffled,99,0.8800017946829877,0.005691581479033981
shuffled,151,0.8576810056558907,0.0050588924790622
shuffled,201,0.8363674208733947,0.003201782288803546
naive blocked,1,0.5003979797499936,0.10675361943552904
naive blocked,3,0.49645238679641174,0.1079867005215695
naive blocked,5,0.4894889112344515,0.11091636128973398
naive blocked,7,0.491837975316071,0.1122283736158466
naive blocked,11,0.48697163961006107,0.11279127050242976
naive blocked,15,0.48764341408527023,0.11766287751592773
naive blocked,21,0.4819375186396303,0.11951354710067333
naive blocked,31,0.48059516614453707,0.12315265099492498
naive blocked,51,0.4753929080110601,0.12693799498071703
naive blocked,75,0.4706940056708464,0.12934977481588006
naive blocked,99,0.4641482689666761,0.12962698953294213
naive blocked,151,0.4550863867137155,0.13191518255381093
naive blocked,201,0.4450165964189036,0.13163265858091977
stratified blocked,1,0.7778425412718278,0.027376465323182952
stratified blocked,3,0.7777734072352345,0.03220663165363821
stratified blocked,5,0.7770230645449668,0.033319328390701806
stratified blocked,7,0.7763603313665891,0.037223259469569635
stratified blocked,11,0.7761124024077717,0.0376603682030868
stratified blocked,15,0.7750312891113892,0.038149151657930015
stratified blocked,21,0.7705888312771917,0.03996670877288071
stratified blocked,31,0.7661404136122534,0.03833602262310319
stratified blocked,51,0.7550610882650932,0.03461042991076595
stratified blocked,75,0.7491084093211752,0.03563947445915297
stratified blocked,99,0.7347434292866083,0.02980751735541157
stratified blocked,151,0.7247446212527564,0.026295765213559412
stratified blocked,201,0.7095816198819954,0.034208153325795264
